date,age,cases
2020-07-02,45_49,52
2020-07-02,50_54,40
2020-07-02,55_59,37
2020-07-02,60+,133
2020-07-03,00_04,20
2020-07-03,05_09,11
2020-07-03,10_14,12
2020-07-03,15_19,28
2020-07-03,20_24,41
2020-07-03,25_29,46
2020-07-03,30_34,48
2020-07-03,35_39,43
2020-07-03,40_44,50
2020-07-03,45_49,43
2020-07-03,50_54,28
2020-07-03,55_59,32
2020-07-03,60+,122
2020-07-04,00_04,13
2020-07-04,05_09,5
2020-07-04,10_14,14
2020-07-04,15_19,16
2020-07-04,20_24,39
2020-07-04,25_29,33
2020-07-04,30_34,43
2020-07-04,35_39,37
2020-07-04,40_44,29
2020-07-04,45_49,32
2020-07-04,50_54,24
2020-07-04,55_59,24
2020-07-04,60+,69
2020-07-05,00_04,9
2020-07-05,05_09,10
2020-07-05,10_14,18
2020-07-05,15_19,27
2020-07-05,20_24,61
2020-07-05,25_29,52
2020-07-05,30_34,48
2020-07-05,35_39,54
2020-07-05,40_44,49
2020-07-05,45_49,40
2020-07-05,50_54,34
2020-07-05,55_59,36
2020-07-05,60+,99
2020-07-06,00_04,18
2020-07-06,05_09,16
2020-07-06,10_14,20
2020-07-06,15_19,33
2020-07-06,20_24,36
2020-07-06,25_29,57
2020-07-06,30_34,58
2020-07-06,35_39,66
2020-07-06,40_44,53
2020-07-06,45_49,46
2020-07-06,50_54,44
2020-07-06,55_59,30
2020-07-06,60+,163
2020-07-07,00_04,15
2020-07-07,05_09,20
2020-07-07,10_14,17
2020-07-07,15_19,18
2020-07-07,20_24,40
2020-07-07,25_29,45
2020-07-07,30_34,69
2020-07-07,35_39,42
2020-07-07,40_44,44
2020-07-07,45_49,37
2020-07-07,50_54,41
2020-07-07,55_59,33
2020-07-07,60+,128
2020-07-08,00_04,15
2020-07-08,05_09,10
2020-07-08,10_14,13
2020-07-08,15_19,29
2020-07-08,20_24,44
2020-07-08,25_29,80
2020-07-08,30_34,59
2020-07-08,35_39,61
2020-07-08,40_44,66
2020-07-08,45_49,45
2020-07-08,50_54,50
2020-07-08,55_59,41
2020-07-08,60+,152
2020-07-09,00_04,18
2020-07-09,05_09,15
2020-07-09,10_14,21
2020-07-09,15_19,30
2020-07-09,20_24,71
2020-07-09,25_29,69
2020-07-09,30_34,68
2020-07-09,35_39,58
2020-07-09,40_44,55
